comment_text,toxic
"""As for  the notability of Yamal, Phil Jones (among others) thinks it is important  and it does supply a """"hockey stick"""" recon, eh? Albeit a heavily-criticized one. One has to wonder why there is no mention at all here - or at Climategate, last I looked """,0
"I will do Whatever i want and it is my right, what is both of yous Problem Asshole.",1
"You rate him as somewhat more authoritative than me. But sorry to say, I rate you as completely an idiot about this topic.",1
"Why do you love cock? 

Stop taking down my vandalism you fucking nigger loving faggot.",1
"I'll try my best to drop down to your level.  Hopefully you can comprehend that the movie is the source for many of these.  You don't need a weblink for everything on Wikipedia.  Good example is the lawsuit.  The lawsuit itself is the source.  Things like the budget and the Cinemassacre thing would need direct citations, but by all means, keep doing a broad deletion.  That's what Wikipedia needs.",0
"Sorry, I'm colour-blind. I see nothing. Currently I am eating warthog steak. Would you like to join me?",0
"In addition, tags have been placed throughout tis section, indicating places where there might be a need for either improved or first sources.

Note, finally, as I said at the Liddell article, in the LC section, these are important matters, controversial matters, about which I have no firm opinion; it is simply crucial that they be properly verifiable, and clearly stated. Best of fortune getting this in order. It has all the makings of a first-class article, if the matter of this controversy can be carefully, thoughtfully, and verifiably resolved.  Cheers,",0
Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email,1
"Firebombing==

I'll see you tonight fellow brother. WHITE POWER! It's going to be sweet, we're going to linch some jews, burn some crosses, and take turns fucking Billy Bob's sister. It's on for tonight, bring the beer, the gasoline, and of course the rope. By the way, you better not talk to that chink on 5th street. He and his people are taking AR JOOOOBS! May the lord protect you until 12 tonight and then we're going to have some fun. WHITE POWER BROTHER!!!!!

==",1
"""You wrote """":Elockid has clarified that the block on the IP was not targeted at him, but, rather, at another user who apparently was spoofing Ldm's IP. Since he's convinced I have a """"conflict of interest"""" regarding his block (from what I don't know), I'm not going to take any action. And honestly, now that the issue of block evasion has been cleared up, I'm not going to complain if he creates another account with an acceptable username and userpage. Thanks.   """"   """,0
"P.S 

who gives you the Authority to delete my PERSONAL stuff that my teacher told ME to do, NOT OTHER USER CREEPS to mess with.",1
"supper, you hungry bitch",1
"""::Thanks, Hnsampat.  Drmargi can lick it.  Times of London not a reliable source?  Lick it.  Stuff it and lick it.

By the way, it was stolen from the Jungle Brothers: """"Africa 'cause AfriCAN!!!""""

""",1
"Well, in my opinion high schools are of borderline notability.  Usually high schools have tens of thousands of graduates, each one spending hours and hours there for a four year period with countless memories during a time of transition in their lives.  Some have more students than say Bryn Mawr College.  Also, to try to delete every article on a high school is an unspeakably futile act.  It just can't happen, and even if they were deleted they'd just pop right back up like weeds.",0
"""Please be careful when you add comments to a discussion not to delete content or templates from the page, as you did at Wikipedia:Articles for deletion/Donier Tyler. Thank you! ~81(C) """,0
"Hello Young Lady
The articles were amended, please read them before reverting them again.",0
"OK, you are a faggot. Keep being an ass. And don't forget to edit it.wikipedia.org/wiki/Marie_Luv fr.wikipedia.org/wiki/Marie_Luv es.wikipedia.org/wiki/Marie_Luv pt.wikipedia.org/wiki/Marie_Luv. And write to Jimbo to complain that Marie Luv entry was nominated as a Pornography Featured article. With her real name!!! WTF??? Such a shame!!! http://en.wikipedia.org/wiki/Portal:Pornography/Featured_article/38

Add by the way, rewrite the part of the article that is a copy/paste from IMDb. Not a serious reliable source.

Oh! And write to Google to state that they don't respect her privacy: Quiana Marie Bryant.

BTW you won. I'll stop editing wikipedia. Since adding informations is useless with poor guys like you. Cheers.

85.201.107.27",1
"""

 Ice 

Stay cool my balls. I say """"diu lei lo mo""""""",1
I should be unblocked cos Alex aka skater is actually gay as my mate olly bummed him last night!!!,1
"banning me dodo bit bird die,",1
"Tupac
The reason I removed it The Lost Tapes is because its a compliation, not a studio album, and does not fit in the posthumous studio albums section.",0
"Bye! do what you do....! 

Hello
My exams are coming and I don't want to waste my time arguing with a mental Named IndianBio.As I have many work to do which include study,study and study and I don't want to failed in my semester exams.I have many work to do in regular life unlike that idiot who wants that to made his presence felt on Wikipedia.I will advice Administrators to check out IndianBio and Gleekvampire accounts.its the case of Sock Puppet on Wikipedia.Indian gave him A batnstar and again vampire hive same barnstat to him.doesn't. Make sense.well he created account gleekvampire to present himself barnstars and support.pls checkout.(  )",1
"""

don't be a dumbfuck
The """"Pedigree"""" or Double Underhook Facebuster is not an actual facebuster; it is a DDT because it incorporates a headlock. Stop being a dumbfuck fanboi and stop reverting.""",1
"December 2009 
 Please stop. If you continue to blank out or delete portions of page content, templates or other materials from Wikipedia, as you did to Avatar, you will be blocked from editing.  I assume that you are the editor previously using IP , and have been warned for the vandalism before",0
"A better way of viewing it  perhaps would be  along the lines that there is no such thing  as  rubbish (waste); as  rubbish (waste)  is  just something in the wrong place at the wrong time.  Example: Small amounts of the nuclear industries radioactive 'waste' such as Strontium-90 has found useful applications. Yet it is obtained from the nuclear industries waste, which un-contained  would pollute the environment.",0
"SAME HERE!!! I fixed a spelling error in 'Homosexuality' and I get a 'Last Warning for Vandalisim' Whatsa the go? What, you hate Umpires or something you racist",1
"No Picture? 

With such a heinous murder and rape spree, why isn't there a picture of the thug? His spiteful, bastard face must be seen to have the full effect: Mugshot

Also, it should be mentioned somewhere, maybe in a Controversies section, that the Oakland black community and black activist groups actually came to Mixon's defense- calling him a soldier, a hero, and a victim: Source 1 , Source 2 50.29.10.210",0
"""

 Reply 

My comment was intended to stop the argument before it got even more out of hand - and also hopefully edit conflict any escalation-in-progress. Administrators will be reviewing both your actions now that this has been brought up, and will determine if any action is necessary.  (//c) """,0
"|autho6=Lauren C. Williams
|title6=The ‘Five Horsemen’ Of Wikipedia Paid The Price For Getting Between Trolls And Their Victims
|date6=2015-03-06
|org6=Think Progress
|url6=http://thinkprogress.org/culture/2015/03/06/3629086/wikipedia-gamergate-war/
|quote6= It’s interesting how a male feminist had to write a blog about it before anybody realized that there are these problems on Wikipedia.",0
"Go Fuck Yourself 

Get a job, you hippie shitbag.",1
"Daniel Clark 
My recent edit of this article is not at all a disruptive edit, I was just adding something that I read in a magazine, and I couldnt find the source. So dont be threatening to block me or anything.",0
Suck it dick face from IP Address: 71.195.241.34 Name: Tyler Age: Go fuck yourself nutsack,1
"BKBKBKBK
IM SOOO SORRY FOR SAYIN THOSE NAUGHTY WORDS TO YOU. I JUST HAVE ONE MORE THING TO SAY.

FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
O YEA DID I MENTION
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!

COLLEGE POINT MUTHAFCKER!!!!!!!!!!",1
the private organization,0
"Fuck you! 

It war now asshole!!",1
"Haha
Moron.. I told you to shut up.. -",1
"Mr.Mosin, the issue is about Russian military, not Ukrainian. You may want to read several relevant talk sections above if you're interested. By the way, some of my fellow editors seem to be deliberately partitioning the discussion on the subject here (, probably trying to promote a false claim that I'm avoiding consensus attempts. Happy edits,",0
"Wendy, get lost. Really. Not everybody shares your bigoted views. And Antonio, quite frankly, you're a fucker for comparing Mercado's sexuality to Babe Ruth's alcoholism. Get the fuck off the site. Now. 98.232.181.201",1
"""
""""Anti-immigrant hate groups are the most extreme of the hundreds of nativist and vigilante groups that have proliferated since the late 1990s, when anti-immigration xenophobia began to rise to levels not seen in the United States since the 1920s."""" - ACTUAL QUOTE. FIRST PARAGRAPH. WHAT THE FUCK ARE YOU SMOKING?""",1
I'm with Phil on this one - please help maintain what is a pleasant Wiki atmosphere!,0
"FisherQueen, would you kindly stop following my every move and deleting things off MY user page. Havent you got anything better to do than piss people off on Wikipedia.",1
"Wrong click? 

I presume this edit was an accident?",0
Thanks. It's sad that SDL has low abstraction possibilities. I think Mathematica has fantastically flexible and expressive syntax. And some intermediate tool could help develop complex math visualisation.,0
"""::: You are wrong. Although I was blocked on some occasions, I was never blocked for Sockpuppetry or Vandalism. It was because of disputes on multiple topics with various socks of user:Hkelkar & user:VandalPetrol, both of which are permabanned. I have never used any other account. If you are permitted to edit then you should get other accounts deleted which says you are indeffed.  No-Blast 

""",0
"""

 Possibly unfree Image:Afif-Safieh.jpg 
 An image that you uploaded or altered, Image:Afif-Safieh.jpg, has been listed at Wikipedia:Possibly unfree images because its copyright status is disputed. If the image's copyright status cannot be verified, it may be deleted. Please go to its page for more information if you are interested in it not being deleted. Thank you. -T """,0
"Fuck you, you piece of shit 

Fuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of shitFuck you, you piece of sh",1
"""
Sorry for being a spoilsport =) –xenotalk """,0
"If you're a motherf**king a**hole, what can I do? 

Yes you are along with the rest of the gay bi!ch Wikipedia community.",1
Hello fascist!!!! (  ),1
", salt-cured meat, curing (food preservation), smoking (cooking technique) - probably others. Perhaps we don't need any more general articles",0
"It's still bogus. They have selected a particular very short list of Hall of Fame pitchers, at which Ryan places last, and have used that to question his credentials. They have no business doing that unless they rank ALL Hall of Fame pitchers. It's gone.",0
"That's it. 

Final straw. We're doing this. You and me. I will be flying to the city of your residence and burning down your domicile. Do you have nice things? Because I'm going to fuck them.",1
You sound sick in the head. The solution is simple - it shouldn't include AKM but should include PK.,1
"""==Notability of Bibliography of Mirjana Detelic==
A tag has been placed on Bibliography of Mirjana Detelic, requesting that it be speedily deleted from Wikipedia. This has been done because the article appears to be about a person, group of people, band, club, company, or web content, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in an encyclopedia. Under the criteria for speedy deletion, articles that do not assert the subject's importance or significance may be deleted at any time. Please see the guidelines for what is generally accepted as notable. 

If you think that you can assert the notability of the subject, you may contest the deletion by adding  to the top of the page (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the article's talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm the subject's notability under Wikipedia guidelines.

For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.   """,0
")
Suck your dead mums toe- regards- Your Dad",1
"mind youre business

hey stay out of my personal matters i dont care what you think so you can blow my balls. Wrestlinglover420",0
"Also, my mother is a prostitute who loves her black pimp.",1
"In the course of cleaning up 1929 

I created 1929 world leaders. Please restore, thanks.  talk",0
"If you have enough brains to look at the edits before and after that, you will see some fool just like yourself was falsely changin klr to klt which again others had corrected, again it was over resurrection having ads that the community split over. how many people does it take and how much proof before you get it?
last time, community split over kazaa lite resurrection having ads in it, klt has never had ads, there has never been allegations of klt having ads, nor has there been any proof, changing klr to klt changes the whole dynamic of the discussion.",1
"Rajbir Singh link 

You removed my link which I posted to Rajbeer Singh (www.rajbeersingh.com) because you said it was written by a fan.  Well, with this logic also then remove the IMBD link because that too has been written by a fan.  Don't be hypocritical, be consistent.  You can't justify the removal of one link because it has been written by a fan and not the other.  I pity the fact that you are in a dead end poor excuse for a job and that acting like a pain in the arse to other people gives your miserable excuse for a career, a sense of false purpose.  However most of the articles on Wikipedia itself have been written by fans.  are you going to close down Wikipedia?  Bloody jokers.",1
"FUCK U ALL 

FUCK U ALL",1
whoever did thats just stupid.. stupid mutha fucka that has no life.. fortunately i do bitch! suck a nut.. i bet ur fred durst from limp bizkit hating on a better band,1
just wanting to let u know it won't happen again ),0
"RCU clerk note 

Hey there.  Sorry about putting that clerk note on the VaughnWatch RCU.  Not having participated with an RCU before, I was thinking that it was a mechanism to leave an additional note for the clerk.  I definitely did not mean to imply that I was a clerk or that I have a desire to be one.  I am most definitely not interested in being an RCU clerk at this time.",0
"merge to Fear mongering 

i'm going through the process of removing some of the WP:OR and non-WP:RS now. if any editors can specify some content they believe should remain or possibly be merged to the fear mongering article, make your suggestions here. cheers",0
"I appericate your opinion. As to the 48hr block, it had to do with another user and a totally different subject. -  (VT)",0
without replying and also called me an idiot and a fantard,1
"Mr. kMan 

hi. I dont like the tonne of your face. Do you touch your mom with those fingers?",1
"Marie Luv 

 20:18, 2 September 2009 (hist) (diff) Marie Luv  (Reverted good faith edits by 85.201.107.27; Rv unsourced. (TW))  (top) 

It's on IMDb. Do I need to add source to EVERYTHING I write?  Do you something else than reverting? Can't you DO something in place of arguing and reverting? You are the cancer that ruins Wikipedia.",1
"Regarding ads: There a dozens of good game-journalism sources, I'm just not able to quickly google one that has discussed QL's ads (possibly they haven't gotten around to it yet). I'm not sure about screenshots - that gets into complex WP:Fair use and WP:No original research territory... You'd have to ask at the WP:helpdesk, or something.",0
"dont delete it self hating jewish freak 

listen you are self hating jewish freak wikipedia is a place to writing facts and not a stupid opinions if any one will delete it i ask it from neutral persons ok. this is not the place to express your opinions if you want there is forums not this place. you psychopaths even came until here? how low can you down?",1
"""

For goodness sake, read my message. I have copy&pasted; the page to Dragonball Z power levels on Wikia. OK, so it was promptly redirected but you can still see the Wikipedia version via the edit history. If you think the target of the redirect is shit, don't moan at me, take the matter up with Jeangabin666 who created the redirect. Do you understand? Please reply. —  (talk · contribs) """,0
"Yeah, but you suck at life.",1
"""

Find any other equivalent. You guys have changed the entire subject. The fact of the matter is that you can not call ethnic groups prior to 1919 as Azerbaijani; there was no such defined identity. Why are there articles on the Dutchy? The Dutchy were more defined as a group than were the Turkic peoples living in those lands… why not plain German? And again, Parishan is using Russian and Soviet propaganda material, which maintained such a position, including for the Turks living in Armenia, to stop Turkey's expansionism… they had Turks in Nakhichevan and those in Armenia rather to adhere to an Azerbaijani identity than Turkish. But prior to the Soviet rules, those people were not identifying themselves, neither were they identified as such. I am wondering how much more can Parishan provide other than Soviet-Russian historiography which was known to be tainted when covering ethnic groups and ethno genesis, turning ethnic groups into groups that all originated from the identities forming the Union, some sort of Self-Sufficient system. This process already started during the end of the Russian Empire, Roy writes: In Azerbaijan for a brief period (the governorate of Vorontsov in the 1850s, and that of Goltsyn from 1896 to 1905), the Russians encouraged the development of an Azeri identity in order to weaken links with Iran and Turkey (The New Central Asia The Creation of Nations by Olivier Roy I.B.Tauris, (2000) p.56)

During the process, many different groups were pushed into being identified as ethnically Azerbaijani, including Kurds, who haven't until recently when groups wanted their independence requested their identity to be changed: In 1988 some 10,000 Kurds in Azerbaijan returned their Azeri identity papers to Moscow with the explicit request that their identity be changed from Azeri to Kurd. (A Modern History of the Kurds by David McDowall, I.B.Tauris (2004), p.493)

And to use Parishan’s opening, it is funny how Parishan is requesting sources for those quotes, Ulvi were you not a participant on the arbitration enforcement? How many sources were used? Parishan has probably missed references like this: In 1897 'Tatars'-which officially included most Muslim groups... (Socialism in Georgian Colors: The European Road to Social Democracy, 1883-1917, Harvard University Press (2005) p. 19)

Here, another quote missed by Parishan: In Contrast with the Armenians, the Azerbaijani national identity is very recent. In fact, the very name """"Azerbaijani"""" was not widely used until the 1930s; before that, Azerbaijani intellectuals were unsure whether they should call themselves Caucasian Turks, Muslims, Tatars or something else.  (S.Kaufmann, Modern hatred, Cornell University Press, 2001. See page 56.) 

Do I need to provide what was provided and include also newer ones? I like Eupator’s request RFC about this article, and a it’s a good idea of requesting the same for several other articles. Ulvi, your English language justification makes no sense; you could have changed for Turkic people instead of making an inaccurate move. -   """,0
"dick face 

go fuck your dick",1
I will murder your pets and slash your tires.  You are such a giant assclown.  My name is Byran Mattison and I am a gay football player.  I play for the Ravens and I love dick.,1
"A tag has been placed on Eric D. Williams, requesting that it be speedily deleted from Wikipedia. This has been done because the article seems to be about a person, group of people, band, club, company, or web content, but it does not indicate how or why the subject is notable, that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not assert notability may be deleted at any time. Please see the guidelines for what is generally accepted as notable, and if you can indicate why the subject of this article is notable, you may contest the tagging. To do this, add  on the top of the page (below the existing db tag) and leave a note on the article's talk page explaining your position. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm its subject's notability under the guidelines.

For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.",0
"the point isn't that the article is autobiographical, it's that it was reviewed for that and approved on multiple occasions prior to this. The only reason it got removed now is because I talked about how I did what I did? Does that sound like Wikipedia is unbiased to you?",0
No silly it isnt ITS UR MOMS and might I say quite the lovely page indeed.  Oh and UR MEAN no im just kiddding but ur not all that nice either...cause u have a black black heart.=(,1
"The page made was relevant.
The band has hundreds of followers that want to know about it.
Fortunately I know this information about them as I went to the same school, while most of them were there.

Can it be sent to me?",0
HELLO DICKHEAD68.75.164.65,1
Always happy to help! Cheers.,0
"Thankyou, could you please email the correspondence to me, Special:Emailuser/Comaze. Is there any way to confirm or deny Bateson's involvement in Bandler's MA? Bateson wrote the foreword for Magic I, signed, 'Gregory Bateson, Kresge College, UCSC'.",0
